x,y,z
957,90,-113
969,-63,-125
1000,-4,-125
957,-125,-121
996,152,-125
977,31,-129
977,-113,-145
965,-78,-125
1023,39,-129
980,-66,-152
980,-82,-125
1016,63,-121
1039,12,-125
1023,82,-121
996,-8,-141
977,113,-125
980,-78,-121
992,20,-137
988,-86,-125
992,-27,-152
984,35,-141
992,-70,-121
957,-145,-156
988,43,-133
1031,-55,-133
957,-141,-141
969,51,-117
1020,-35,-125
961,-156,-145
1008,90,-129
1020,-23,-121
949,-145,-160
1004,133,-137
996,-4,-133
965,-129,-152
996,148,-129
1016,4,-125
984,113,-125
1023,78,-125
973,-70,-137
996,-20,-137
1023,90,-141
965,-35,-152
973,-94,-125
1047,74,-129
988,-31,-148
973,-94,-121
1004,23,-109
953,4,-148
1066,109,-121
980,86,-133
1016,-16,-129
988,-160,-145
1027,121,-121
1023,-12,-137
980,-125,-125
992,129,-125
1008,8,-125
992,121,-156
1035,55,-113
984,-90,-156
1000,82,-133
984,-70,-113
984,-59,-152
980,90,-125
992,-70,-129
934,-23,-125
973,-105,-117
1008,47,-129
988,-16,-145
965,-102,-117
1004,74,-125
992,-4,-141
961,-102,-109
1051,113,-117
973,12,-133
1008,-70,-117
977,-164,-160
1023,16,-125
1035,82,-109
1043,125,-160
1000,-20,-129
988,43,-133
977,-59,-121
1008,8,-125
1004,-47,-129
961,-55,-121
1027,20,-121
984,-121,-156
973,-39,-117
1020,47,-129
977,-109,-156
1031,-35,-137
1008,55,-121
992,-74,-172
973,-82,-121
1020,55,-125
984,109,-145
1039,117,-117
961,35,-129
980,-74,-121
965,-156,-117
992,39,-133
992,-51,-121
969,-152,-148
992,82,-133
996,-23,-125
969,-129,-148
988,98,-129
1023,-8,-137
969,-113,-145
1008,121,-133
1023,-16,-125
965,-74,-137
1008,125,-129
1016,8,-125
984,82,-117
1023,63,-125
977,-70,-160
973,-94,-109
1012,43,-133
980,-31,-145
973,-90,-121
992,35,-121
988,-8,-148
977,-105,-121
1039,105,-117
973,8,-141
1039,105,-125
1000,102,-133
980,-12,-117
965,86,-113
961,-23,-117
1004,-16,-125
973,-94,-121
1004,117,-133
996,4,-125
1016,-8,-125
977,-59,-121
1008,27,-117
1000,-109,-152
965,-59,-109
1027,35,-121
984,148,-145
1016,16,-129
984,-35,-145
977,137,-113
980,-105,-129
988,0,-145
988,-78,-152
973,-121,-133
969,12,-129
977,-78,-121
953,-137,-168
1020,8,-137
1047,-70,-121
953,-148,-148
996,55,-133
1031,-31,-121
973,-148,-145
992,86,-141
1004,31,-137
996,117,-125
1031,27,-152
973,-117,-145
988,-39,-125
1008,39,-125
965,-117,-152
980,-39,-125
1020,39,-121
977,-109,-148
969,-74,-129
1016,51,-125
973,-74,-152
969,-90,-117
1016,20,-133
984,-43,-148
969,-102,-121
1020,74,-125
988,-12,-148
980,-98,-125
1035,113,-125
992,47,-133
1043,98,-117
1000,90,-133
988,-20,-125
973,-133,-152
988,105,-141
1004,-31,-117
977,-82,-141
996,109,-125
1027,-4,-125
977,-12,-137
1000,113,-117
1020,4,-121
1004,148,-148
1012,35,-125
977,-74,-148
969,-98,-117
1008,12,-117
984,-51,-145
969,-90,-113
1031,90,-129
980,-16,-148
984,-82,-133
1020,117,-113
996,16,-141
1039,98,-121
1000,94,-137
996,-35,-121
969,90,-133
957,-16,-125
1012,-35,-129
973,20,-113
953,-27,-113
1008,0,-125
973,-98,-145
969,-43,-105
1059,-8,-148
965,-109,-121
1004,90,-133
1004,27,-121
1000,-125,-156
977,-31,-125
1023,43,-117
984,-109,-160
965,-78,-121
1027,47,-125
977,125,-141
1051,113,-117
977,31,-133
984,-74,-117
977,-129,-137
1000,31,-137
984,-59,-121
969,-137,-148
1004,63,-145
1020,-27,-121
961,-137,-160
996,90,-133
1023,-20,-129
973,-133,-156
992,105,-129
1031,-31,-121
984,-82,-145
1000,113,-125
1020,55,-125
1031,23,-113
1020,55,-125
977,-86,-152
973,-94,-121
1016,43,-121
973,-66,-145
965,-98,-121
1039,12,-137
988,-39,-145
977,-90,-121
1031,90,-125
973,-8,-141
1012,-90,-133
1027,113,-113
1000,20,-129
1035,98,-121
1004,105,-133
996,-23,-129
965,-125,-129
1004,117,-125
1020,-12,-129
973,-70,-133
984,125,-129
1023,12,-129
996,-63,-141
965,-55,-109
996,31,-125
1000,141,-145
1008,47,-121
984,-39,-141
973,137,-113
996,-39,-137
988,-23,-145
977,137,-117
965,-129,-148
992,0,-145
1047,-70,-121
973,-148,-152
984,31,-141
1031,-63,-117
969,-148,-152
1008,43,-141
1027,-47,-117
965,-145,-156
1000,90,-133
1008,23,-129
1000,137,-117
1027,23,-121
977,-74,-137
965,-63,-117
1031,51,-121
965,-98,-148
973,-43,-121
1023,59,-125
977,-70,-141
1035,-43,-148
1020,78,-129
984,-39,-152
973,-90,-125
1031,74,-125
965,-27,-145
973,-94,-117
1035,23,-125
961,4,-145
1055,113,-121
1000,70,-125
988,-27,-133
941,-129,-102
1000,117,-133
992,-4,-129
973,-129,-148
1000,141,-121
1000,12,-125
996,137,-160
1035,74,-117
977,-82,-145
965,94,-125
1000,-74,-133
973,-55,-152
988,39,-125
984,-78,-137
984,-27,-145
973,-94,-121
1023,70,-121
992,-8,-148
973,-98,-125
1004,27,-125
992,4,-145
1051,-94,-129
980,-102,-145
992,23,-141
1055,102,-117
988,117,-125
1020,-4,-133
965,82,-117
965,-70,-125
965,16,-133
977,-113,-148
973,-66,-113
1023,20,-125
969,-90,-152
961,-63,-117
1031,31,-121
996,-16,-129
953,-66,-109
1027,55,-121
984,-74,-145
969,-66,-121
984,70,-98
980,129,-152
1016,27,-129
992,4,-145
977,-98,-125
980,-98,-125
996,20,-145
980,-86,-121
965,-156,-152
1004,20,-141
996,-55,-121
965,-164,-156
1000,39,-137
1035,-39,-125
965,-145,-137
1008,74,-137
1023,-35,-117
965,-148,-152
1012,109,-137
1016,-27,-113
953,-133,-164
1004,125,-125
1020,27,-117
992,125,-121
1031,55,-121
965,-98,-156
992,-23,-125
1016,59,-129
973,-63,-148
996,-55,-117
1012,70,-125
984,-59,-152
973,-90,-125
1031,63,-125
969,-39,-148
977,-102,-117
1012,20,-125
965,-16,-141
977,-90,-121
1023,78,-125
973,47,-141
1016,117,-109
996,102,-129
1004,-8,-129
969,-125,-125
1004,121,-129
992,-4,-133
957,-129,-152
1000,133,-121
1016,4,-125
992,94,-148
1027,63,-121
977,-82,-156
977,43,-125
996,-59,-129
961,-55,-152
969,-90,-117
1012,63,-121
984,-39,-148
973,-105,-117
1000,12,-121
980,-23,-141
980,-98,-113
1020,74,-125
984,-4,-137
984,-78,-129
1043,113,-117
984,12,-145
1039,98,-125
992,121,-121
977,-12,-121
969,90,-117
961,-43,-113
1012,-12,-129
957,74,-129
957,-47,-121
1023,0,-125
973,-27,-133
957,-51,-113
1016,27,-125
980,-94,-145
969,-59,-117
1012,27,-113
996,-94,-148
980,-35,-113
1020,55,-125
992,133,-141
1008,66,-125
988,-8,-145
980,133,-117
973,-141,-141
988,8,-137
984,-74,-121
969,-152,-152
961,35,-125
1031,-59,-117
996,-137,-164
1008,55,-141
1023,-43,-121
957,-148,-148
1004,90,-133
1004,-20,-133
961,-148,-156
1004,113,-129
1012,20,-129
988,129,-125
1027,43,-125
961,-105,-152
973,-43,-117
1023,55,-129
969,-86,-141
1035,-39,-141
1016,63,-113
973,-70,-152
973,-90,-129
1031,59,-125
977,-59,-148
973,-98,-117
1035,35,-121
961,-31,-145
965,-102,-125
1016,59,-129
977,63,-137
1117,94,-137
1004,90,-133
984,-20,-125
965,-137,-121
1012,105,-133
969,4,-129
1000,137,-148
1027,31,-129
965,-109,-164
977,109,-129
1012,-39,-113
973,-90,-152
1008,63,-113
1000,-59,-129
973,-59,-148
977,82,-121
996,-63,-129
980,-39,-145
969,-105,-113
1031,47,-133
988,-12,-145
980,-94,-121
1000,27,-117
988,4,-145
1051,-78,-121
977,-129,-156
988,20,-145
1039,98,-133
996,129,-133
1004,-8,-141
977,82,-121
957,-55,-129
1004,8,-121
961,-113,-148
961,-55,-125
1023,16,-121
984,-70,-148
953,-59,-117
1020,35,-117
992,-43,-141
973,-70,-121
980,51,-102
996,-70,-145
977,-63,-121
1023,74,-133
980,129,-145
1023,12,-121
996,20,-145
988,-98,-121
973,-129,-125
996,31,-133
988,-63,-117
969,-160,-148
980,35,-129
996,-47,-129
969,-152,-145
1000,35,-137
1031,-27,-133
957,-156,-145
1012,109,-133
1012,-23,-125
957,-141,-152
1000,145,-125
1020,-8,-117
957,-125,-152
988,148,-129
1016,-4,-129
957,-94,-148
1047,137,-152
1000,-23,-125
980,-47,-141
969,141,-117
992,-55,-121
1000,-4,-137
980,137,-125
980,-82,-137
977,-55,-141
980,121,-121
988,-102,-145
973,-23,-148
996,-31,-121
1027,94,-121
988,4,-145
1012,-27,-129
977,-109,-148
996,31,-137
1031,-86,-129
969,-86,-148
992,47,-133
1055,102,-121
984,47,-117
1008,0,-125
969,-145,-156
965,-55,-121
1000,12,-125
1012,-117,-160
965,-74,-121
1016,12,-137
996,-94,-152
969,-94,-125
1004,51,-133
988,-82,-156
965,-90,-121
1035,74,-121
984,-51,-152
965,-78,-121
1043,94,-113
1012,27,-121
1031,94,-113
1016,66,-148
977,-70,-129
965,-105,-117
1000,74,-133
996,-59,-129
969,-55,-141
1000,90,-125
1004,-43,-125
984,-98,-141
996,98,-129
1043,-8,-117
961,-141,-156
988,94,-129
1031,23,-129
992,141,-148
1012,12,-152
977,-47,-145
973,-105,-109
1031,86,-121
988,-23,-145
977,-94,-117
1055,109,-109
988,8,-133
1043,-74,-121
973,-145,-152
988,23,-133
1027,86,-117
1031,105,-125
996,-8,-129
973,51,-121
977,-55,-137
1008,4,-125
996,-43,-137
965,-51,-121
1035,23,-125
965,-113,-168
965,-47,-125
1023,55,-125
980,-102,-152
984,-23,-117
1016,63,-125
973,-86,-148
984,-35,-121
1027,78,-129
988,-47,-137
977,-98,-129
1027,55,-121
961,98,-148
1062,117,-113
984,31,-125
984,-39,-121
965,-168,-109
992,90,-137
988,-20,-121
1004,-145,-156
992,117,-125
1016,-4,-129
969,-117,-156
1008,137,-133
1000,20,-125
1000,133,-148
1039,74,-117
980,-66,-148
973,-47,-129
1043,94,-109
977,-35,-152
1004,-43,-125
1023,94,-121
1012,8,-160
1027,-82,-129
973,-86,-129
992,27,-137
1039,-86,-129
965,-59,-145
996,43,-141
1055,102,-125
996,78,-125
1016,0,-117
969,-145,-156
961,-63,-113
1000,12,-129
969,-109,-152
961,-98,-113
1039,-4,-137
973,-86,-133
996,164,-117
992,70,-102
980,-63,-160
957,-94,-117
1047,90,-121
984,-31,-141
965,-78,-113
1043,109,-125
980,43,-129
1027,94,-121
1035,82,-180
984,-63,-133
980,-86,-125
1000,94,-133
1000,-43,-129
957,-12,-133
1008,105,-125
1012,-23,-125
957,-129,-145
996,105,-137
1031,16,-125
980,156,-152
1016,23,-121
973,-55,-141
961,133,-117
996,-63,-133
980,-27,-141
977,-102,-121
1043,98,-125
988,-4,-145
984,-94,-113
1055,121,-113
973,20,-109
1047,-70,-113
973,-152,-152
992,35,-133
1027,74,-117
1023,121,-141
984,0,-125
961,-51,-133
973,-63,-129
1012,12,-125
984,-66,-137
961,-63,-113
1047,35,-133
969,-105,-141
973,-51,-121
1023,66,-121
969,-86,-156
1004,-27,-133
1023,74,-121
1004,-43,-141
984,-78,-129
1020,82,-125
980,-27,-148
973,-102,-125
1023,63,-121
965,74,-145
1062,125,-113
1023,12,-121
996,-35,-129
965,-164,-160
992,98,-125
996,-12,-129
969,-129,-145
992,133,-125
1012,-12,-125
965,-117,-152
1008,148,-121
1000,23,-121
992,125,-152
1039,86,-121
980,-51,-152
977,-35,-109
1047,94,-121
984,-27,-148
969,-27,-133
1027,98,-121
984,23,-141
1027,-86,-125
969,-98,-133
1000,43,-137
1031,-86,-125
977,-47,-152
992,59,-137
1051,98,-125
992,86,-121
1012,8,-125
965,-137,-160
957,-66,-109
1008,20,-121
969,-98,-156
969,-102,-113
1023,4,-145
984,-78,-148
977,-102,-125
1023,63,-121
988,-55,-145
965,-102,-117
1047,98,-117
980,-20,-133
969,-82,-117
1043,109,-129
984,39,-133
1031,90,-117
1016,94,-164
988,-47,-133
969,-86,-121
1000,102,-133
996,-31,-125
953,-16,-133
1004,117,-129
1023,-8,-125
977,-121,-148
996,105,-125
1027,31,-121
977,145,-152
1020,27,-125
980,-35,-152
965,141,-117
988,-55,-129
992,-8,-152
977,-102,-121
1039,102,-121
992,8,-137
1051,-86,-125
957,-152,-160
996,31,-125
1043,-59,-117
973,-160,-156
988,47,-141
1027,63,-125
957,160,-121
996,8,-125
969,-55,-133
969,-63,-133
1016,35,-121
1000,-59,-141
969,-70,-117
1039,55,-121
973,-90,-152
977,-55,-113
1035,78,-109
977,-66,-148
984,-23,-121
1031,82,-121
980,-27,-148
996,-43,-141
1027,86,-121
977,0,-148
1035,117,-121
996,51,-125
996,-47,-129
949,-168,-113
1004,35,-137
1000,-16,-125
961,-160,-156
992,109,-121
996,0,-129
996,156,-164
1023,51,-117
980,0,-148
984,-90,-137
977,-86,-133
996,-39,-137
973,125,-113
965,-105,-133
992,-27,-148
992,-51,-121
1039,105,-109
984,8,-145
988,-39,-133
965,-117,-145
1008,47,-145
1027,-43,-141
969,-113,-141
992,74,-141
1039,-59,-129
957,-70,-141
1000,82,-129
1043,70,-121
973,51,-125
1012,35,-129
977,-125,-156
961,-74,-109
1012,31,-117
977,-74,-164
965,-74,-125
1016,4,-117
996,-66,-156
969,-102,-117
1012,70,-125
980,-47,-141
961,-94,-121
1051,109,-121
961,-23,-145
969,-78,-121
1047,113,-125
996,0,-137
1031,90,-121
969,86,-117
984,-27,-129
957,-105,-117
1008,105,-137
1000,-39,-125
969,-43,-137
1004,113,-121
1020,-8,-121
984,-94,-145
992,121,-117
1027,31,-121
984,152,-156
1004,43,-129
980,-35,-152
965,-94,-98
1016,20,-133
980,-16,-137
980,-105,-117
1035,94,-117
1000,8,-141
1047,-86,-117
969,-152,-148
984,20,-133
1039,-63,-113
973,-164,-164
977,16,-129
1031,70,-125
1047,137,-160
996,8,-129
980,-70,-145
969,-70,-117
1016,31,-121
961,-4,-141
965,-74,-121
1031,55,-125
996,-86,-148
961,-63,-113
1027,86,-121
973,-74,-160
988,-27,-121
1035,86,-129
992,-23,-160
996,-47,-125
1023,90,-117
980,86,-148
1047,113,-121
1000,43,-137
992,-59,-121
957,-172,-117
996,39,-121
992,-20,-125
969,-164,-156
992,70,-129
1000,-8,-117
992,-141,-141
996,125,-133
1020,8,-125
992,137,-152
1016,74,-117
1004,-35,-133
965,137,-125
984,-90,-141
992,-51,-148
980,-63,-125
1043,102,-121
977,-16,-148
988,-23,-129
1027,98,-117
980,12,-145
1023,-20,-133
977,-113,-145
996,47,-141
1031,113,-125
1004,63,-121
1012,-20,-121
957,90,-117
1004,-39,-125
1008,12,-121
973,-141,-168
969,-63,-113
1008,23,-121
977,-121,-156
957,-78,-121
1016,20,-137
992,-82,-156
973,-102,-121
1004,39,-129
977,-70,-148
965,-94,-117
1035,86,-113
980,-39,-148
961,-78,-121
1043,105,-121
965,35,-141
1039,98,-125
1012,74,-145
996,-23,-133
973,-121,-152
1000,98,-137
1000,-47,-125
961,-78,-133
1004,109,-129
1039,-20,-125
1008,-39,-141
996,117,-125
1027,20,-125
984,141,-160
1023,51,-125
973,-55,-164
977,-90,-117
1012,16,-125
996,-31,-152
965,-105,-113
1016,70,-117
988,-12,-152
988,-98,-109
1055,117,-117
996,4,-141
1047,98,-121
992,109,-137
992,4,-137
961,-125,-148
930,-51,-109
1000,0,-125
969,-98,-141
969,-59,-125
1020,23,-125
984,-35,-145
961,-70,-117
1035,47,-125
977,-63,-145
961,-66,-117
1027,74,-121
977,-70,-152
980,-55,-125
1031,74,-121
973,-27,-145
996,-31,-137
1020,94,-117
977,90,-137
1039,94,-121
1008,55,-137
992,-55,-117
961,-168,-125
977,47,-133
988,-20,-121
957,-160,-164
992,31,-121
992,-4,-125
930,-141,-145
1004,125,-125
1016,12,-125
996,137,-152
1035,94,-125
969,23,-137
980,-86,-125
973,-113,-152
988,-20,-141
980,-66,-125
1047,113,-117
984,12,-145
1020,-35,-125
973,-125,-145
988,59,-137
965,-27,-137
961,-125,-141
1008,74,-133
1031,82,-129
996,98,-129
1020,20,-121
961,-137,-156
984,-20,-121
1016,39,-117
977,-109,-160
973,-59,-117
1012,51,-125
996,-82,-152
977,-86,-129
1012,43,-129
992,-47,-152
